'Acer CB3-532-C47C 15.6" Chromebook, Chrome OS, Intel Celeron N3060 Dual-Core Processor, 2GB RAM, 16GB Internal Storage',199.0,'Acer','15.6 in','2 GB','16 GB','Intel Celeron','1.6 GHz','Chrome OS','12 h'
'Refurbished Acer C720-2103 Chromebook 11.6-Inch Netbook (Gray)',129.99,nan,nan,nan,nan,nan,nan,nan,nan
'Acer TravelMate X349-M-5375 - 14" - Core i5 6200U - 8 GB RAM - 256 GB SSD - US International',799.99,'Acer','14.0"','8 GB','256 GB','Intel Core i5','2.30 GHz, with a Max Turbo Speed of 2.80 GHz','Windows 7','10 hours'
'Acer Predator 17.3" 4K Gaming Laptop i7-7820HK 32GB 1TB HD 512GB SSD GTX1080',3020.45,'Acer','17.30 Inches','32 Gigabytes','1 Terabytes','Intel i7-7820HK','2.9 Gigahertz','Windows 10',nan
'Acer Aspire 3 with Intel CN3350, 4GB 500GB HDD',309.99,'Acer','15.60 Inches','4 Gigabytes','500 Gigabytes','Intel N3350','1.1 Gigahertz','Windows 10','6 Hours'
'Acer Aspire R5-571TG R5-571TG-51A3 15.6" Core i5 (7th Gen) i5-7200U 8GB DDR4 1TB HDD - 128GB SSD - Windows 10 Home 1920 x 1080 - In-plane Switching (IPS) Technology - Steel Gray Notebook',749.9,'Acer','15.60 in','8.00 GB','1.00 TB','Intel Core i5','2.50 GHz','Windows 10','9.00 h'
'Aspire A315-31-C06Z - Celeron N3450 - 4GB 1TB - Windows 10 Home - Notebook',336.35,'Acer','15.60 Inches','4 Gigabytes','1 Terabytes','Intel N3450','1.1 Gigahertz','Windows 10','6 Hours'
'Refurbished Acer Aspire Switch 10.1" Touchscreen Laptop Intel Atom Quad Core 2GB 32GB W10H',209.95,'Acer','10.1\"','2 GB',nan,nan,nan,'Microsoft Windows',nan
'Acer C720 Chromebook (11.6, 2GB, 16GB SSD) Discontinued by Manufacturer Refurbished (Scratched and Dented)',129.99,'Acer',nan,'2 GB','16 GB',nan,nan,'Chrome OS',nan
'Acer 15.6" Intel Core i7 2.6GHz 16 GB Ram 1 TB HDD + 256 GB SSD Windows 10 Home|G9-593-72VT',1136.09,'Acer','15.6 in','16 GB','1 TB','Intel Core i7','2.6 GHz','Windows 10','3 h'
'Acer Laptop Aspire E5-553G-1986 AMD A12-Series A12-9700P (2.50 GHz) 8 GB Memory 1 TB HDD 128 GB SSD AMD Radeon R8 M445DX 15.6 Windows 10 Home',584.99,'Acer','15.6"','8 GB','1 TB','A12','2.50 GHz','Microsoft Windows, Windows 10',nan
'Acer Chromebook C720-2848 - Refurbished',129.99,'Acer',nan,nan,nan,nan,nan,'Chrome OS',nan
'Refurbished Acer Predator Laptop Intel Core i7 2.8 GHz 32 GB Ram 512 GB SSD Windows 10 Home',2487.44,'Acer','15.6 in','32 GB','512 GB',nan,'2.80 GHz','Windows 10',nan
'Acer Aspire E 15 E5-523-97JY - 15.6" - A9 9410 - 4 GB RAM - 1 TB HDD - US International',399.99,'Acer','15.6"','4 GB','1 TB','A9','2.90 GHz','Microsoft Windows, Windows 10',nan
'Acer Aspire C22-860-UR11 - i3-7100U 2.40 GHz - 4 GB DDR4 SDRAM - 1 TB HDD 1920 x 1080 - Windows 10 Home All-in-One',581.18,'Acer','21.5 in','4 GB','1 TB','Intel Core i3','2.4 GHz','Windows 10','0 h'
'Acer Chromebook C910-3916 - 15.6" - Core i3 5005U - 4 GB RAM - 32 GB SSD - US',403.68,'Acer','15.60 in','4 Gigabytes','32','Intel Core i3','2 Gigahertz','Chrome OS','8 hours'
'Acer 11.6" Intel Celeron 2.16 GHz 4 GB Ram 16 GB Flash Chrome OS|CB3-131-C8GZ',162.74,'Acer','11.6 in','4 GB','16 GB','Intel Celeron','2.16 GHz','Chrome OS','9 h'
'Refurbished Acer Iconia Tab W700-6499 11.6" HD WiFi Windows 10 Tablet Intel i5 4GB 128GB',244.95,'Acer',nan,'4 GB','128',nan,nan,nan,nan
'Acer SW312-31-P4G1 12.2" Touchscreen LCD - Pentium N4200 4 GB 64 GB Flash Memory - Windows 10 Home - 1920 x 1200 - Iron Gray 2 in 1 Notebook',456.76,'Acer','12.20 in','4.00 GB','64.00 GB','Pentium N4200','1.10 GHz','Windows 10','8.00 h'
'Spin 5 SP513-52N-5621 - 13.3" - Core i5 8250U - 8 GB RAM - 256 GB SSD Touch Screen Convertable Notebook',753.04,'Acer','13.30 in','8.00 GB','256.00 GB','Intel Core i5','1.60 GHz','Windows 10',nan
'Newest Premium High Performance Acer Aspire E15 15.6-Inch FHD Notebook (Intel Core i3-7100U 7th Generation , 4GB DDR4, 1TB 5400RPM HD, Intel HD Graphics 620, Windows 10 Home), Obsidian Black',439.0,'Acer','15.60 in','4.00 GB','1.00 TB','Intel Core i3-7100U','2.40 GHz','Windows 10',nan
'Refurbished Acer C720 Chromebook (11.6-Inch, 2GB)',129.99,'Acer','11.6',nan,nan,nan,nan,nan,nan
'Acer Chromebook 15 CB3-532-C42P - 15.6" - Celeron N3060 - 4 GB RAM - 16 GB SSD - US',255.9,'Acer','15.60 Inches','4 Gigabytes','16 Gigabytes','Intel N3060','1.6 Gigahertz','Chrome OS','0 h'
'Manufacturer Refurbished Acer 11.6" Intel Celeron 1.1 GHz 4 GB Ram 32 GB Flash Windows 10 Home|SP111-31N-C4UG',195.29,'Acer','11.60 in','4.00 GB','32.00 GB','Intel Celeron','1.10 GHz','Windows 10','9.00 h'
'Refurbished Acer 15.6" Aspire 3 Laptop AMD 3 GHz 6 GB Ram 1TB HDD Windows 10 Home',303.44,'Acer','15.6 in','6 GB',nan,'A9','3 GHz','Windows 10',nan
'Manufacturer Refurbished Acer Aspire R5-471T-50UD 14" Laptop, Touchscreen, 2-in-1, Windows 10 Home, Intel Core i5-6200U Processor, 8GB RAM, 256GB Solid State Drive',519.74,'Acer','14.0"','8 GB','256 GB','Intel Core i5','2.3 GHz','Windows 10','9 hours'
'Aspire 3 A315-51-514S i5-7200U 2.5 GHz 6 GB 1 TB 15.6" Windows 10 Home Notebook',530.2,'Acer','15.60 Inches','6 KB','1 KB','Intel i5-7200U','2.5 Hz','Windows 10 Home','0 h'
'Refurbished Acer TravelMate B117-M TMB117-M-C9GH 11.6" Laptop, Windows 10, Intel Celeron N3160 Quad-Core Processor, 4GB RAM, 128GB Solid State Drive',216.29,'Acer','11.6"','4 GB','128 GB','Intel Celeron','1.6 GHz','Windows 10','8 hours'
'Refurbished Acer Notebook 15.6" Intel Core i5 2.5GHz 4GB Ram 256GB SSD Windows 10 Home',379.04,'Acer','15.6 in','4 GB','256 GB',nan,'2.5 GHz','Windows 10',nan
'Acer TravelMate TMB115-M-C99B Intel Celeron N2840 2.16GHz 4GB MEM 500GB HDD Win7 Laptop',259.99,'Acer',nan,'4 GB','500',nan,nan,nan,nan
'Manufacturer Refurbished Acer Aspire R5-471T-79YN 14" Laptop, Touchscreen, 2-in-1, Windows 10 Home, Intel Core i7-6500U Processor, 8GB RAM, 512GB Solid State Drive',681.44,'Acer','14.0"','8 GB','512 GB','Intel Core i7','2.5 GHz','Windows 10','9 hours'
'Refurbished Acer Aspire V5-531P-4129 15.6-inch LED Touchscreen Ultrabook, Intel Pentium 987, 1.50 GHz',348.95,'Acer','15.6',nan,nan,nan,nan,'Microsoft Windows',nan
'Refurbished ACER Aspire 1 Laptop 14" 32GB 4GB RAM 1.1GHz Intel Celeron with Windows 10 Black A114-31-C4HH',189.99,'Acer','14\"','4 GB',nan,nan,nan,'Microsoft Windows',nan
'Acer Swift 3 14.0" FullHD Laptop Core i5 i5-8250U Quad-Core 8GB 256GB SSD Win10',642.11,'Acer','14.00 Inches','8 Gigabytes','256 Gigabytes','Intel i5-8250U','1.6 Gigahertz','Windows 10','10 Hours'
'Refurbished Acer 14" Intel Core i3 1.40 GHz 4 GB Ram 500 GB HDD Windows 7 Home|V5-471-6569',324.44,'Acer','14 in','4 GB','500 GB','Intel Core i3','1.40 GHz','Windows 7','5 Hour'
'Refurbished Acer 10.1" Intel Atom x5 1.44 GHz 2 GB Ram 32GB Flash Windows 10 Home|S1003-130M',140.69,'Acer','10.1 in','2 GB',nan,nan,'1.44 GHz','Windows 10',nan
'Used Like New Acer CB3-531-C4A5 15.6 Chromebook - Celeron N2830 2.16 GHz - 2 GB RAM - 16 GB SSD - Textured Granite Gray',179.99,'Acer',nan,'2 GB',nan,nan,nan,'Chrome OS',nan
'Refurbished Acer Aspire 15.6" Intel Celeron 2.4 GHz 4GB Ram 500 GB HD Windows 10 Home',292.94,'Acer','15.6 in','4 GB','500 GB',nan,'2.40 GHz','Windows 10',nan
'Refurbished Acer Chromebook 15 Intel  Celeron 1.6 GHz 4 GB Ram 32GB Flash Chrome OS',216.29,'Acer','15.6 in','4 GB',nan,nan,'1.6 GHz','Chrome OS',nan
'Refurbished Acer Aspire Switch 10.1: Touchscreen Intel Z3735F 1.33GHz 32GB Windows 10 Laptop',199.0,'Acer',nan,'32 GB',nan,nan,nan,'Microsoft Windows',nan
'KB.I110A.026 ACER ASPIRE ONE LAPTOP KB (BLK)(US)(INT)',21.0,'Acer',nan,nan,nan,nan,nan,nan,nan
'Refurbished Acer 11.6" Intel Celeron 1.60 GHz 4 GB Ram 32 GB Flash Chrome OS | CB5-132T-C9KK',195.29,'Acer','11.6 in','4 GB',nan,nan,'1.60 GHz','Chrome OS',nan
