ID,Name,Price,Brand,Screen Size,RAM,Hard Drive Capacity,Processor Type,Processor Speed,Operating System,Battery Life
2652,"Refurbished Apple Macbook Air 11.6"" Laptop Intel 1.3GHz i5-4250U 8GB 256GB SSD - MD712LLA",570.51,Apple,11.6,,256,Intel Core i5,,Apple iOS,
2653,Refurbished Apple MacBook Pro 15.4 Intel Core i7 2.2GHz 16GB 256GB Laptop MGXA2LL/A (Scratch and Dent),998.72,Apple,15.4 Inches,,256 Gigabytes,Intel Core i7,2.2000000000000002 Gigahertz,May Come Standard with Mac OSX  10.9.4 or higher,
2654,"Apple MacBook Pro Core i5-2435M Dual-Core 2.4GHz 4GB 500GB DVD±RW 13.3"" LED Notebook OS X w/HD Cam MD313LL/A (Late 2011) - Refurbished",509.99,Apple,"13.3\""",4 GB,500 GB,,,,
2655,Apple MacBook Pro 13.3-Inch Laptop Intel Core i7 2.8GHz / 16GB DDR3 Memory / 1TB SSHD (Solid State Hybrid) Drive - Refurbished,929,Apple,13.3 Inches,16 Gigabytes,1 TB,"32 nm ""Sandy Bridge"" 2.8 GHz Intel ""Core i7""",2.8 Gigahertz,Mac OS,
2656,"Refurbished Apple MacBook Pro 15.4"" Laptop Intel i7 Quad Core 2GHz 4GB 500GB - MC721LLA",579.99,Apple,,,500,,,,
2657,"Refurbished Apple Macbook 12"" Core m3 2016 [1.1] [256GB] [8GB] - Rose Gold",829,Apple,12.00 in,8.00 GB,256.00 GB,Core m3,1.10 GHz,Mac OS X 10.10,9.00 h
2658,Certified Refurbished - Apple MacBook Pro Retina 13-Inch Laptop - 2.5Ghz Core i5 / 8GB RAM / 256GB SSD MD212LL/A (Grade B),840,Apple,13.3 Inches,8 Gigabytes,128 Gigabytes,Intel Core i5,2.5 Gigahertz,Mac OS X,
2659,"Apple 13.3"" MacBook Air 256GB SSD + Beats by Dr. Dre Beats Solo3 Wireless On-Ear Headphones (Gloss Black) + Ultra-Slim 2.4 GHz Optical Wireless Mouse For Laptop PC Macbook (White) Bundle",1139.19,Apple,"13.3\""",,,,,,
2660,"Certified Refurbished Apple Macbook Air 13"" i5 2011 [1.7] [128GB] [4GB] MC965LL/A - 90 Day Warranty",519.49,Apple,13 in,4 GB,128 GB,Intel Core i5,1.7 GHz,OS x 10.7 Lion,7 h
2661,Apple Macbook (MLHE2LL/A) 12-inch Retina Display Intel Core m3 256GB - Gold (Early 2016) (Certified Refurbished),889.95,Apple,12 Inches,8 Gigabytes,256 Gigabytes,Dual-Core 1.1 GHz (w/ Turbo Boost up to 2.2 GHz),1.1000000000000001 Gigahertz,macOS Sierra,
2662,"Refurbished Apple MacBook Pro Retina Display 13.3"" i5 [2.7] [128GB] [8GB] MF839LL/A(2015)",826.85,Apple,13 in,8 GB,128 GB,,2.7 GHz,,
2663,"Certified Refurbished Apple Macbook Pro 15"" retina display i7 2013 [2.3] [512GB] [16GB] ME294LL/A - 90 Day Warranty",1189,Apple,15 in,16 GB,512 GB,Intel Core i7,2.3 GHz,OS x Mac OS X El Capitan,8 h
2664,Apple MacBook MC516LL/A 13.3-Inch Laptop (OLD VERSION),429.99,Apple,13.3 Inches,4 Gigabytes,250 Gigabytes,Intel Core Duo P8600,2.4 Gigahertz,Apple Mac OS X 10.6,10 Hours
2665,"Apple MacBook Air 11.6"" Laptop MD223LL/A (Silver) (Refurbished)",418.75,Apple,11.6 in,,,,,,
2666,"Refurbished Apple MacBook Pro Retina Display 13"" i5 [2.4] [128GB] [4GB] ME864LL/A(2013)",831.49,Apple,13 Inches,,128 Gigabytes,,2.4 Gigahertz,,
2667,"Apple A Grade Macbook 12-inch (Retina, Silver) 1.2GHz Core m5 (Early 2016) MLHC2LL/A 512 GB SSD 8 GB Memory 2304x1440 Display Mac OS X v10.12 Sierra Power Adapter Included",879,Apple,12.00 in,8.00 GB,512.00 GB,Intel Core M5,1.20 GHz,Mac OS,
2668,"Apple 13.3"" MacBook Air 128GB SSD #MQD32LL/A + Padded Case For Macbook + Fibercloth Bundle",880.29,Apple,13.3,,128,,,,
2669,"Refurbished Apple MacBook Air 11.6"" LED Laptop Intel Core i7-3667U 128GB - Mid 2012 MD845LLA",499.99,Apple,"11.6\""",,128 GB,,,Microsoft Windows,
2670,Refurbished Apple MacBook Pro 15.4 Intel Core 2 Duo 2.53GHz 4GB 250GB Laptop MC118LL/A,458.77,Apple,15.4 in,4 GB,250 GB,Intel Core 2 Duo,2.53 GHz,Mac OS,
2671,"Apple MacBook 13.3"" Refurbished - A1181 Notebook - Intel Core 2 Duo - 1 GB RAM - 80 gb HDD - DVD-Writer - Nvidia GeForce 9400M - Wifi - Webcam - Mac OS 10.6 Snow Leopard",116.99,Apple,13.3,,,,,Mac OS X 10.6 Snow Leopard,
2672,Apple MacBook Air MD760LL/A Intel Core i5-4250U X2 1.3GHz 4GB 128GB SSD (Certified Refurbished),549.62,Apple,13.3 in,4 GB,128 GB,,,,
