ID,Name,Price,Brand,Screen Size,RAM,Hard Drive Capacity,Processor Type,Processor Speed,Operating System,Battery Life,Clean Name
2435,"Acer TravelMate P248-M-76YA - 14"" - Core i7 6500U - 8 GB RAM - 500 GB HDD - US International",913.06,Acer,14.00 in,8 Gigabytes,500,Intel i7-6500U,2.5,Windows 7,6,TravelMate P248 M 76YA i7 6500U 500 US International
2436,"Acer Travelmate P645-s Tmp645-s-59ag 14"" Led [in-plane Switching [ips] Technology] Notebook - Intel Core I5 I5-5300u Dual-core [2 Core] 2.30 Ghz - 8 Gb Ram - Ddr3l Sdram - 256 Gb Ssd - (nx-vataa-005)",918.99,Acer,14,8 GB,,,2,Microsoft Windows,,Travelmate P645 s Tmp645 s 59ag plane Switching ips Technology Notebook Intel I5 I5 5300u Dual 30 Ghz Ddr3l Ssd nx vataa 005
2437,"Refurbished Acer Aspire Z3 AIO 23.8"" Intel Core i7 2.9GHz 16GB Ram 2TB Win10Home",919.79,Acer,23.8 in,16 GB,,,2.90 GHz,Windows 10,,Refurbished Aspire Z3 AIO 23 Intel i7 9GHz 2TB Win10Home
2438,Refurbished Acer Nitro 5 Laptop Intel Core i5 2.5GHz 8GB 1TB HDD Windows 10,919.79,Acer,15.6 in,8 GB,,,2.5 GHz,Windows 10,,Refurbished Nitro Intel i5 5GHz
2439,"Refurbished Acer Predator 15.6"" Laptop Core i7 3.80GHz 8GB Ram 256GB SSD Windows 10",919.79,Acer,15.6 in,8 GB,256 GB,,2.80 GHz,Windows 10,,Refurbished Predator i7 80GHz SSD
2440,"Refurbished Acer 15.6"" Nitro Notebook Intel Core i7 2.8GHz 16GB 512GB SSD Win10Home",919.79,Acer,15.6 in,16 GB,512 GB,,2.80 GHz,Windows 10,,Refurbished Nitro Notebook Intel i7 8GHz 512GB SSD Win10Home
2441,"Acer Nitro 5 AN515-51-72HL 15.6"" IPS i7 7th Gen 2.80GHz  GTX 1050 Ti 8GB RAM 1TB HDD Win10 Home 64-Bit Gaming Laptop",930.0,Acer,"15.6\""",8 GB,1 TB,Intel Core i7,,Microsoft Windows,,Nitro AN515 51 72HL IPS i7 7th 80GHz GTX 1050 Ti Win10 Bit
2442,"Acer TravelMate P658-M-59SY - 15.6"" - Core i5 6200U - 8 GB RAM - 256 GB SSD - US International",954.26,Acer,"15.6""",8 GB,256 GB,Intel Core i5,"2.30 GHz, with a Max Turbo Speed of 2.80 GHz",Windows 7,,TravelMate P658 M 59SY i5 6200U SSD US International
2443,"15.6"" I5 7200u 8GB 1tb Win10h",956.76,Acer,15.6,,1,,,,,I5 7200u Win10h
2444,"Acer TravelMate P648-M-59KW - 14"" - Core i5 6200U - 8 GB RAM - 256 GB SSD - US International",965.54,Acer,"14.0""",8 GB,256 GB,Intel Core i5,"2.30 GHz, with a Max Turbo Speed of 2.80 GHz",Windows 7,,TravelMate P648 M 59KW i5 6200U SSD US International
2445,"Refurbished Acer 15.6"" Intel Core i7 2.50 GHz 8 GB Ram 256 GB SSD Windows 7 Professional",973.34,Acer,15.6 in,8 GB,,,2.50 GHz,Windows 10,,Refurbished Intel i7 50 GHz SSD Professional
2446,Refurbished Acer Spin 5  Laptop Intel Core i7 1.8 GHz 8 GB Ram 1 TB HDD Windows 10 Home,973.34,Acer,15.6 in,8 GB,1 TB,,1.8 GHz,Windows 10,,Refurbished Spin Intel i7 GHz
2447,Refurbished Acer Nitro Spin 5 Laptop Intel Core i5 1.6GHz 8GB Ram 1TB HDD Windows 10 Home,973.34,Acer,15.6 in,8 GB,1 TB,,1.6 GHz,Windows 10,,Refurbished Nitro Spin Intel i5
2448,Refurbished Acer Nitro 5 Laptop Intel Core i7 2.8 GHz 16 GB Ram 1 TB HDD Windows 10 Home,973.34,Acer,15.6 in,16 GB,,,2.8 GHz,Windows 10,,Refurbished Nitro Intel i7 GHz
2449,Refurbished Acer Laptop Intel Core i7 1.8 GHz 8 GB Ram 1TB HDD 256GB SSD Windows 10 Home,973.34,Acer,15.6 in,8 GB,256 GB,,1.8 GHz,Windows 10,,Refurbished Intel i7 GHz SSD
2450,Refurbished Acer Swift 3 Laptop Intel Core i7 1.8GHz 8GB Ram 256GB SSD Windows 10 Home,973.34,Acer,14 in,8 GB,256 GB,,1.8 GHz,Windows 10,,Refurbished Swift Intel i7 8GHz SSD
2451,Refurbished Acer Nitro Notebook Intel Core i7 2.8GHz 16GB Ram 1TB HDD 256GB SSD Win10Home,973.34,Acer,15.6 in,16 GB,256 GB,,2.80 GHz,Windows 10,,Refurbished Nitro Notebook Intel i7 8GHz SSD Win10Home
2452,Refurbished Acer Nitro Spin 5 Laptop Intel  Core i7 1.8 GHz 8 GB Ram 1TB HDD Windows 10 Home,973.34,Acer,15.6 in,8 GB,1 TB,,1.8 GHz,Windows 10,,Refurbished Nitro Spin Intel i7 GHz
2453,"12"" I7 6500u 8g 256GB W10h",996.8,Acer,12,,,,,Microsoft Windows,,12 I7 6500u 8g W10h
2454,"Refurbished Acer 15.6"" Intel Core i7 2.8GHz 16 GB Ram 1 TB HDD Windows 10 Home|VN7-593G-76SS",997.49,Acer,15.6 in,16 GB,,,2.80 GHz,Windows 10,,Refurbished Intel i7 8GHz VN7 593G 76SS
2455,"Acer Spin SP515-51GN SP515-51GN-807G 15.6"" - Intel Core i7 i7-8550U 8GB DDR4 1TB HDD - Windows 10 Home 1920 x 1080 - IPS Convertible 2 in 1 Notebook",999.0,Acer,15.60 in,8.00 GB,1.00 TB,Intel Core i7,1.80 GHz,Windows 10,,Spin SP515 51GN SP515 51GN 807G Intel i7 i7 8550U 1920 x 1080 IPS Convertible Notebook
2456,Plug and Play Ethereum Siacoin Decred Windows 10 Customized Mining Laptop + Case,999.99,Acer,15.6 in,8 GB,256 GB,Intel Core i5,2500 MHz,Windows 10,7 h,Plug Play Ethereum Siacoin Decred Customized Mining Case
2457,"Acer Travelmate,ntb,tmp648-m-700f,14in,1366x768,win10/win7,intelcore I5-6200u,4gb Ddr",1011.89,Acer,,,,,,,,Travelmate ntb tmp648 m 700f 14in 1366x768 win10 win7 intelcore I5 6200u Ddr
2458,"14"" I7 6500u 8GB 256GB W10h",1018.8,Acer,14,8 GB,256,,,Microsoft Windows,,I7 6500u W10h
2459,"Acer Spin 7 SP714-51-M24B - 14"" - Core i7 7Y75 - 8 GB RAM - 256 GB SSD - US International",1044.57,Acer,14.00 Inches,8 Gigabytes,256 Gigabytes,Intel i7-7Y75,1.3 Gigahertz,Windows 10,8 Hours,Spin SP714 51 M24B i7 7Y75 SSD US International
2460,"Acer TravelMate P658-M-70S3 - 15.6"" - Core i7 6500U - 8 GB RAM - 256 GB SSD - US International",1048.18,Acer,"15.6""",8 GB,256 GB,Intel Core i7,"2.50 GHz, with a Max Turbo Speed of 3.10 GHz",Windows 7,,TravelMate P658 M 70S3 i7 6500U SSD US International
2461,"Acer TravelMate X349-M-757X - 14"" - Core i7 6500U - 8 GB RAM - 512 GB SSD - US International",1049.99,Acer,"14.0""",8 GB,512 GB,Intel Core i7,"2.50 GHz, with a Max Turbo Speed of 3.10 GHz",Windows 7,10 hours,TravelMate X349 M 757X i7 6500U 512 SSD US International
2462,"Acer TravelMate P648-M-59Q7 - 14"" - Core i5 6300U - 8 GB RAM - 256 GB SSD - US International",1059.35,Acer,"14.0""",8 GB,256 GB,Intel Core i5,"2.40 GHz, with a Max Turbo Speed of 3.00 GHz",Windows 7,8 hours,TravelMate P648 M 59Q7 i5 6300U SSD US International
2463,"Acer Aspire R 13 R7-371T-59Q1 - 13.3"" - Core i5 5200U - 8 GB RAM - 128 GB SSD (2x)",1062.0,Acer,"13.3""",8 Gigabytes,256 GB,Intel Core i5,2.20 GHz,Microsoft Windows,8 Hour,Aspire 13 R7 371T 59Q1 13 i5 5200U 128 SSD 2x
2464,Acer Aspire NX.G6JAA.006 VN7-592G-79X4 Notebook PC - Intel Core (Refurbished),1076.49,Acer,15.6 in,16 GB,1024 GB,Intel Core i7,2.6 GHz,Windows 10 Home 64-bit Edition,,Aspire NX G6JAA 006 VN7 592G 79X4 Notebook Intel Refurbished
2465,"Refurbished Acer 15.6"" Intel Core i7 2.6 GHz 16 GB Ram 1TB HDD Windows 10 Home|VN7-592G-788W",1081.49,Acer,15.6 in,16 GB,,,2.60 GHz,Windows 10,,Refurbished Intel i7 GHz VN7 592G 788W
